学号,姓名,班级,性别,年级,50米,1000米,800米,立定跳远,引体向上,仰卧起坐,BMI,测试评分,测试评价
stu011,学生011,大一2班,男,1,7.5,4:40,,214,10,,23.0,,
stu012,学生012,大一2班,女,1,9.3,,3:50,190,,30,19.8,,
stu013,学生013,大一2班,男,1,8.1,3:52,,226,12,,20.2,,
stu014,学生014,大一2班,女,1,10.0,,4:10,165,,34,21.0,,
stu015,学生015,大一2班,男,1,7.2,4:16,,196,7,,21.6,,
stu016,学生016,大一2班,女,1,8.9,,4:30,175,,38,22.2,,
stu017,学生017,大一2班,男,1,7.8,4:40,,208,9,,23.0,,
stu018,学生018,大一2班,女,1,9.6,,3:50,185,,24,19.8,,
stu019,学生019,大一2班,男,1,8.4,3:52,,220,11,,20.2,,
stu020,学生020,大一2班,女,1,8.6,,4:10,195,,28,21.0,,
