学号,姓名,班级,性别,年级,50米,1000米,800米,立定跳远,引体向上,仰卧起坐,BMI,测试评分,测试评价
stu001,学生001,大一1班,男,1,7.5,3:52,,196,7,,20.2,,
stu002,学生002,大一1班,女,1,9.3,,4:10,175,,28,21.0,,
stu003,学生003,大一1班,男,1,8.1,4:16,,208,9,,21.6,,
stu004,学生004,大一1班,女,1,10.0,,4:30,185,,32,22.2,,
stu005,学生005,大一1班,男,1,7.2,4:40,,220,11,,23.0,,
stu006,学生006,大一1班,女,1,8.9,,3:50,195,,36,19.8,,
stu007,学生007,大一1班,男,1,7.8,3:52,,190,6,,20.2,,
stu008,学生008,大一1班,女,1,9.6,,4:10,170,,40,21.0,,
stu009,学生009,大一1班,男,1,8.4,4:16,,202,8,,21.6,,
stu010,学生010,大一1班,女,1,8.6,,4:30,180,,26,22.2,,
